d	的
f	一
j	是
c	不
fu	了
g	在
cp	我
s	人
k	他
w	这
gm	有
sk	个
x	大
df	上
i	中
jv	来
b	地
z	和
v	说
o	为
kb	们
ck	到
kr	你
wo	就
h	也
hs	以
u	国
p	那
q	要
jl	时
iz	出
ig	着
zj	可
vc	道
do	之
wl	对
sp	会
cj	自
ua	而
jj	得
fd	下
n	能
l	过
dh	生
y	子
fg	于
lg	年
of	后
iw	发
r	都
dn	里
hq	没
cl	还
fo	所
bn	去
pg	看
fi	事
si	如
ql	用
ot	小
ke	作
xx	多
fj	行
iv	只
sy	好
up	成
e	家
fx	天
sh	她
m	方
ml	然
os	当
ng	心
qj	起
zi	种
a	想
rw	经
gu	现
kj	但
hb	法
ue	无
zf	同
cn	么
bl	进
he	学
hf	面
mv	其
vm	前
nt	已
og	主
ss	从
pa	动
vk	分
pe	把
fw	开
ey	军
wi	又
am	两
af	本
ux	因
ek	定
yi	部
fp	与
nx	将
je	日
xk	长
gd	理
qn	三
lh	些
el	实
ai	样
gl	十
an	意
ei	知
lhs	此
;lhs	此
zu	第
au	力
jt	很
fl	正
wn	高
pc	手
kg	什
lc	身
oe	被
eh	它
jm	明
ri	老
rj	者
vn	公
uw	见
ap	机
cz	向
bi	问
jq	最
kf	使
sg	全
di	点
nz	情
xd	外
ns	民
vw	并
dii	战
;dii	战
vx	关
nv	工
ui	回
zb	等
ag	相
rl	二
hd	重
is	由
lx	头
mm	声
nd	性
gh	应
bj	间
vv	话
wm	文
rt	给
ix	美
oq	业
ls	物
gg	真
ka	体
ii	或
flr	政
;flr	政
ps	几
zs	内
zk	利
pu	打
qo	走
ya	新
ky	位
qp	西
gz	再
yo	产
aiq	加
;aiq	加
md	月
bnw	却
;bnw	却
la	先
lu	制
lb	特
sa	果
lo	东
dj	神
ah	儿
gc	才
bo	门
xo	太
t	合
km	信
zo	表
od	原
sm	女
to	更
jc	己
xi	名
yq	立
hh	比
kn	代
yt	四
mvo	斯
;mvo	斯
kc	任
lf	次
xp	世
kt	便
io	听
pj	提
kq	做
hl	海
hg	水
ry	教
gt	眼
kh	化
nq	通
uf	感
gi	王
qy	各
iq	口
fq	气
ia	别
oc	少
jd	处
lv	平
xu	常
rq	解
kz	何
py	接
gy	目
ow	反
uy	变
zc	笑
vi	总
xj	入
vs	认
ja	条
es	安
tk	金
kd	及
gx	度
vd	让
ds	山
xh	马
te	受
hv	活
rm	结
ms	数
ggf	直
;ggf	直
nc	必
dy	白
ph	指
ox	张
pw	报
vh	论
id	员
oo	义
mr	放
jp	电
cy	至
ji	五
ch	系
wv	难
ti	命
uv	建
ro	尔
kl	件
qh	死
ki	保
er	完
vl	许
jk	题
bp	场
zn	空
vg	计
en	怎
sj	光
ze	管
dm	非
jg	德
oi	强
jf	量
le	决
fwb	形
;fwb	形
kw	像
mvm	期
;mvm	期
lfd	资
;lfd	资
ts	队
hz	清
jau	务
;jau	务
iu	嗯
rp	统
pp	书
uu	市
pf	司
kfu	师
;kfu	师
ko	住
tw	即
qa	克
fe	带
ib	飞
gzi	南
;gzi	南
eo	区
ay	李
dk	则
heu	觉
;heu	觉
co	交
db	社
tp	今
mvb	基
;mvb	基
nh	北
mx	展
krp	传
;krp	传
yl	连
ih	叫
hn	治
uq	路
fk	万
li	告
zp	科
im	呢
sn	思
xl	达
vj	记
yr	转
xm	望
al	边
ne	快
po	风
re	色
vy	该
ssk	界
;ssk	界
wp	象
aw	权
pyq	拉
;pyq	拉
vq	设
rh	且
qw	取
lr	干
hr	收
ll	步
tn	领
aa	林
at	根
jo	往
yaj	亲
;yaj	亲
ak	极
fh	求
jx	未
lq	每
zig	程
;zig	程
nn	式
ov	兵
pm	据
mxi	类
;mxi	类
me	言
su	规
ie	吧
ir	品
qr	确
wu	观
bu	城
ij	虽
cs	失
aq	格
ra	远
av	办
rah	元
;rah	元
pl	运
tnd	令
;tnd	令
xv	共
khs	似
;khs	似
lvh	准
;lvh	准
vz	请
fn	武
mf	士
jr	改
wz	英
ao	术
yf	车
qq	石
hev	深
;hev	深
qv	联
ru	争
ixh	吗
;ixh	吗
ter	院
;ter	院
yw	轻
yv	火
yx	罗
fdy	百
;fdy	百
sv	夫
uo	离
wk	花
ol	近
lk	切
viv	识
;viv	识
lil	造
;lil	造
rr	组
hp	流
zg	算
guw	布
;guw	布
dl	导
jgl	早
;jgl	早
pi	找
kk	候
hw	满
mw	服
eu	官
ur	整
teg	爱
;teg	爱
eyd	字
;eyd	字
pb	持
ut	跟
zl	突
jw	影
ho	消
tg	随
il	吃
yz	商
vf	证
vsg	单
;vsg	单
vo	议
qu	越
gk	存
pz	击
mz	精
ha	济
sni	始
;sni	始
ni	台
uc	黑
vzb	调
;vzb	调
tu	需
bh	支
oa	杀
ug	团
na	功
gv	具
khg	华
;khg	华
mt	脸
gkl	府
;gkl	府
va	集
zbi	周
;zbi	周
zm	青
rn	红
ww	双
dp	九
vyc	八
;vyc	八
nb	片
vp	半
ep	容
vu	曾
it	啊
tz	阿
wh	落
joq	显
;joq	显
tsz	除
;tsz	除
mo	尽
xa	党
jki	照
;jki	照
sss	众
;sss	众
js	备
lj	复
tl	陈
mp	断
ks	价
rs	约
ef	写
sd	包
rk	级
iau	另
;iau	另
xf	病
ogd	质
;ogd	质
zr	称
kck	倒
;kck	倒
ca	六
hnv	江
;hnv	江
rre	绝
;rre	绝
vr	敌
bx	黄
pbh	技
;pbh	技
gj	朝
hoo	派
;hoo	派
rf	线
yd	站
zd	究
nm	装
foq	亚
;foq	亚
vcj	首
;vcj	首
zok	刚
;zok	刚
dd	示
du	视
lia	况
;lia	况
bv	增
vyy	谈
;vyy	谈
nw	惊
qm	古
ios	史
;ios	史
vvh	谁
;vvh	谁
ok	引
bk	须
ln	七
cng	息
;cng	息
qf	研
td	际
rlr	器
;rlr	器
jsb	易
;jsb	易
fs	留
pv	推
ssb	坐
;ssb	坐
fm	房
gp	广
hog	注
;hog	注
aj	查
vji	语
;vji	语
tpn	念
;tpn	念
wg	若
xz	奇
kwh	紧
;kwh	紧
sl	企
ogu	希
;ogu	希
zsm	委
;zsm	委
ic	响
if	号
nxb	参
;nxb	参
pt	势
oau	历
;oau	历
th	剑
nr	攻
lt	冷
pq	投
ip	哪
eor	农
;eor	农
rpo	专
;rpo	专
uj	图
rfp	考
;rfp	考
lal	选
;lal	选
rjl	终
;rjl	终
yp	微
dg	皇
bm	土
mpi	局
;mpi	局
jdh	星
;jdh	星
uz	足
wkg	刘
;wkg	刘
mvp	甚
;mvp	甚
fy	严
ee	医
sau	男
;sau	男
we	营
cv	乎
kwi	仅
;kwi	仅
vos	父
;vos	父
tip	拿
;tip	拿
yy	孩
zt	答
ud	费
ad	标
kor	依
;kor	依
hvy	兴
;hvy	兴
kqo	低
;kqo	低
hc	千
kv	仍
rsn	急
;rsn	急
pfk	护
;pfk	护
aah	竟
;aah	竟
ma	某
yc	较
tm	防
qk	列
vb	讲
qe	破
eq	客
mlh	施
;mlh	施
qry	故
;qry	故
cb	血
wwj	节
;wwj	节
pd	云
jh	龙
cf	钱
wa	苏
qt	母
kla	伤
;kla	伤
hvp	举
;hvp	举
mle	族
;mle	族
pes	按
;pes	按
rv	维
kkj	修
;kkj	修
ye	帝
hzj	河
;hzj	河
ufs	威
;ufs	威
ew	巴
ik	划
cr	致
esa	案
;esa	案
go	革
gq	底
vxl	送
;vxl	送
lik	冲
;lik	冲
ar	音
xon	态
;xon	态
tx	够
pfq	段
;pfq	段
as	构
sc	群
lp	船
zdj	责
;zdj	责
wq	苦
agl	章
;agl	章
ju	律
odo	愿
;odo	愿
uqh	围
;uqh	围
wot	京
;wot	京
or	衣
hi	喜
ljw	独
;ljw	独
cor	效
;cor	效
pfo	斗
;pfo	斗
rsl	细
;rsl	细
ndy	怕
;ndy	怕
mn	志
mg	米
jz	晚
pty	热
;pty	热
nk	项
mpf	料
;mpf	料
kqk	例
;kqk	例
syv	灵
;syv	灵
enc	密
;enc	密
ez	害
kx	供
mc	属
xt	验
ba	境
ou	毛
lqi	般
;lqi	般
mq	居
rmp	继
;rmp	继
cx	错
hep	沉
;hep	沉
ta	采
tue	既
;tue	既
ev	察
ci	否
phh	批
;phh	批
mu	脑
uk	夜
mqi	股
;mqi	股
ul	速
rjc	纪
;rjc	纪
rg	续
kmr	假
;kmr	假
ztu	帮
;ztu	帮
no	乐
tpz	陆
;tpz	陆
fwk	型
;fwk	型
tlt	退
;tlt	退
gw	友
cc	铁
hwi	汉
;hwi	汉
jar	暗
;jar	暗
nl	状
gn	左
tq	句
tsl	雷
;tsl	雷
zoo	网
;zoo	网
ub	率
kgg	值
;kgg	值
voj	普
;voj	普
phq	承
;phq	承
kwu	停
;kwu	停
vnn	试
;vnn	试
ovs	弹
;ovs	弹
ld	止
